symbol2,maand1,omzetgroei2,kwart1,bestedhuishcbs,bbp,symbol,kwart2,omzetgroei,jaar1,dhomzetcbs,dhomzetofflinecbs1,omzetwebwinkelscbs,jaar8,webomzetgroeicbs,jaar9,omzetgroeiprodtmm,jaar10,dhaandeelofflinecbs,webwinkelsaandeelcbs,foodcbs,nonfoodcbs,jaar2,omzetwebwinkelscbs2,totaalomzettmm1,omzetprodtmm1,omzetdiensttmm,omzetprodtmm2,dhaandeelofflinecbs1,webwinkelsaandeelcbs1,dhaandeelofflinecbs2,aandeelprodtmm,jaar3,dhexclpureplayopmarcbs,webwopmarcbs,jaar4,totaalomzettmm2,besteltmm,bedrbesttmm,bestperkopertmm,bedrperkoper,kopers,jaar5,aantwebwinkelscbs,groeiaantwebwinkcbs,jaar6,Voeding,Elektronica,Boeken en media,Kleding,Huis en tuinartikelen,Vrijetijdsartikelen,Overige nonfood,Algemeen assortiment,jaar7,Mode,Elektronica,Huis en Tuin,Media en entertainment,Food
multichannel,Jan 2014,0.17,2010 1e kwartaal,-0.013,-0.001,multichannel,2014 1e kwartaal,0.168,2011,104.3,100.5,3.8,2012,0.11,2015,0.20,2011,0.96,0.04,39.5,64.8,2014,5.5,13.96,7.02,6.94,7.02,0.95,0.05,0.93,0.07,2011,0.054,0.068,2009**,7.4,53.0,139.62,6.1,737.00,8.7,2011,16130,0.31,2018,3290,2025,785,9820,5630,3365,8545,3720,2015,2080,970,721,702,701
multichannel,Feb 2014,0.17,2010 2e kwartaal,-0.001,0.019,multichannel,2014 2e kwartaal,0.219,2012,105.5,101.2,4.3,2013,0.12,2016,0.31,2012,0.96,0.04,41.9,63.6,2015,6.8,16.09,8.41,7.68,8.41,0.94,0.06,0.92,0.08,2012,0.050,0.041,2010**,8.2,69.0,118.84,7.4,888.00,9.3,2012,19425,0.2,,,,,,,,,,,,,,,
multichannel,Mar 2014,0.165,2010 3e kwartaal,0.006,0.017,multichannel,2014 3e kwartaal,0.164,2013,102.8,98.0,4.8,2014,0.15,2017,0.15,2013,0.95,0.05,41.2,61.6,2016,7.7,20.16,11.01,9.15,11.01,0.93,0.07,0.9,0.1,2013,0.045,0.06,2011**,9.0,78.0,115.38,7.7,885.00,10.2,2013,22600,0.16,,,,,,,,,,,,,,,
multichannel,Apr 2014,0.323,2010 4e kwartaal,0.012,0.019,multichannel,2014 4e kwartaal,0.177,2014,104.0,98.5,5.5,2015,0.23,2018*,0.21,2014,0.95,0.05,41.9,62.1,2017,9.1,22.5,12.74,9.77,12.74,0.92,0.08,0.89,0.11,2014,0.046,0.059,2012**,9.8,88.0,111.36,8.3,922.00,10.6,2014,23655,0.05,,,,,,,,,,,,,,,
multichannel,May 2014,0.19,2011 1e kwartaal,0.009,0.028,multichannel,2015 1e kwartaal,0.229,2015,107.1,100.3,6.8,2016,0.14,,,2015,0.94,0.06,42.3,64.8,2018*,10.7,26.3,15.4,10.9,15.4,0.91,0.09,0.87,0.13,2015,0.049,0.041,2013**,10.6,97.5,108.72,8.9,966.14,11.0,2015,28830,0.22,,,,,,,,,,,,,,,
multichannel,Jun 2014,0.154,2011 2e kwartaal,0.007,0.021,multichannel,2015 2e kwartaal,0.206,2016,109.7,102.0,7.7,2017**,0.18,,,2016,0.93,0.07,43.4,66.3,,,,,,,,,,,2016,0.058,0.045,2014**,13.96,122.7,113.77,11.9,1355.34,10.3,2016,31720,0.1,,,,,,,,,,,,,,,
multichannel,Jul 2014,0.209,2011 3e kwartaal,-0.002,0.014,multichannel,2015 3e kwartaal,0.23,2017*,114.3,105.2,9.1,2018**,0.18,,,2017**,0.92,0.08,44.8,68.6,,,,,,,,,,,,,,2015**,16.09,143.3,112.28,13.4,1503.74,10.7,2017*,33915,0.07,,,,,,,,,,,,,,,
multichannel,Aug 2014,0.25,2011 4e kwartaal,-0.012,0.0,multichannel,2015 4e kwartaal,0.215,2018**,118.3,107.6,10.7,,,,,2018***,0.91,0.09,,,,,,,,,,,,,,,,2016,20.16,173.6,116.13,13.1,1521.51,13.3,2018*,37175,0.1,,,,,,,,,,,,,,,
multichannel,Sep 2014,0.057,2012 1e kwartaal,-0.005,-0.011,multichannel,2016 1e kwartaal,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,2017,22.51,201.7,111.61,15.2,1692.48,13.3,,,,,,,,,,,,,,,,,,
multichannel,Oct 2014,0.143,2012 2e kwartaal,-0.008,-0.006,multichannel,2016 2e kwartaal,0.169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multichannel,Nov 2014,0.121,2012 3e kwartaal,-0.011,-0.012,multichannel,2016 3e kwartaal,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multichannel,Dec 2014,0.259,2012 4e kwartaal,-0.021,-0.012,multichannel,2016 4e kwartaal,0.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multichannel,Jan 2015,0.258,2013 1e kwartaal,-0.023,-0.017,multichannel,2017 1e kwartaal,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multichannel,Feb 2015,0.219,2013 2e kwartaal,-0.016,-0.005,multichannel,2017 2e kwartaal,0.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multichannel,Mar 2015,0.208,2013 3e kwartaal,-0.011,0.003,multichannel,2017 3e kwartaal,0.242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multichannel,Apr 2015,0.154,2013 4e kwartaal,0.012,0.014,multichannel,2017 4e kwartaal,0.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multichannel,May 2015,0.133,2014 1e kwartaal,-0.003,0.013,multichannel,2018 1e kwartaal*,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multichannel,Jun 2015,0.335,2014 2e kwartaal,0.005,0.014,multichannel,2018 2e kwartaal*,0.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multichannel,Jul 2015,0.238,2014 3e kwartaal,0.003,0.011,webwinkels,2014 1e kwartaal,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multichannel,Aug 2015,0.187,2014 4e kwartaal,0.011,0.018,webwinkels,2014 2e kwartaal,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multichannel,Sep 2015,0.265,2015 1e kwartaal,0.019,0.019,webwinkels,2014 3e kwartaal,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multichannel,Oct 2015,0.259,2015 2e kwartaal,0.022,0.021,webwinkels,2014 4e kwartaal,0.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multichannel,Nov 2015,0.226,2015 3e kwartaal,0.023,0.025,webwinkels,2015 1e kwartaal,0.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multichannel,Dec 2015,0.17,2015 4e kwartaal,0.015,0.014,webwinkels,2015 2e kwartaal,0.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multichannel,Jan 2016,0.157,2016 1e kwartaal*,0.01,0.023,webwinkels,2015 3e kwartaal,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multichannel,Feb 2016,0.215,2016 2e kwartaal*,0.006,0.024,webwinkels,2015 4e kwartaal,0.274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multichannel,Mar 2016,0.138,2016 3e kwartaal*,0.011,0.021,webwinkels,2016 1e kwartaal,0.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multichannel,Apr 2016,0.095,2016 4e kwartaal*,0.018,0.02,webwinkels,2016 2e kwartaal,0.239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multichannel,May 2016,0.28,2017 1e kwartaal*,0.016,0.03,webwinkels,2016 3e kwartaal,0.189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multichannel,Jun 2016,0.142,2017 2e kwartaal*,0.022,0.029,webwinkels,2016 4e kwartaal,0.195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multichannel,Jul 2016,0.118,2017 3e kwartaal*,0.025,0.028,webwinkels,2017 1e kwartaal,0.153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multichannel,Aug 2016,0.127,2017 4e kwartaal*,0.011,0.027,webwinkels,2017 2e kwartaal,0.177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multichannel,Sep 2016,0.089,2018 1e kwartaal*,0.036,0.028,webwinkels,2017 3e kwartaal,0.195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multichannel,Oct 2016,0.171,2018 2e kwartaal*,0.022,0.029,webwinkels,2017 4e kwartaal,0.211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multichannel,Nov 2016,0.288,,,,webwinkels,2018 1e kwartaal*,0.193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multichannel,Dec 2016,0.155,,,,webwinkels,2018 2e kwartaal*,0.141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multichannel,Jan 2017,0.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multichannel,Feb 2017,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multichannel,Mar 2017,0.174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multichannel,Apr 2017,0.262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multichannel,May 2017,0.261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multichannel,Jun 2017,0.246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multichannel,Jul 2017,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multichannel,Aug 2017,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multichannel,Sep 2017,0.309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multichannel,Oct 2017,0.109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multichannel,Nov 2017,0.238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multichannel,Dec 2017,0.289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multichannel,Jan 2018,0.261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multichannel,Feb 2018,0.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multichannel,Mar 2018,0.297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multichannel,Apr 2018,0.331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multichannel,May 2018,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multichannel,Jun 2018,0.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
webwinkels,Jan 2014,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
webwinkels,Feb 2014,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
webwinkels,Mar 2014,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
webwinkels,Apr 2014,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
webwinkels,May 2014,0.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
webwinkels,Jun 2014,0.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
webwinkels,Jul 2014,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
